document_id,clean_text,sentiment
14,nisei male born july world war ii served military intelligence service,neutral
15,nisei male born september seattle washington spent prewar childhood seattles nihonmachi incarcerated puyallup assembly center washington minidoka concentration camp idaho refused participate draft imprisoned mcneil island penitentiary washington draft resistance resettled seattle,negative
16,nisei male born january seattle washington incarcerated puyallup assembly center washington minidoka concentration camp idaho resisted draft rationale us government classified c enemy alien therefore obligation serve imprisoned mcneil island penitentiary washington vocal critic japanese american citizens league resettled seattle washington thought model main character john okadas nono boy,negative
17,female suquamish filipino descent born january grew squamish reservation near vancouver british columbia canada moved bainbridge island work strawberry farms married raised family,neutral
18,nisei female born january portland oregon grew portland parents ran hotel world war ii removed portland assembly center oregon minidoka concentration camp idaho leaving camp returned portland,neutral
19,white male born november seattle washington son reverend emery andrews japanese baptist church minister seattle many years japanese americans seattle removed minidoka concentration camp idaho emery brooks moved family twin falls idaho minister nikkei camp visited japanese american friends minidoka throughout war years world war ii returned seattle attending bailey gatzert elementary school recent years returned former site minidoka concentration camp,neutral
20,white female born june seattle washington grew central district seattle mother ran boarding house discusses reaction japanese american peers leave seattle world war ii,neutral
21,nisei male born january kealakekua hawaii father congregational preacher world war ii served th battalion europe active hawaiis democratic party campaign statehood,
22,sansei female born october san francisco california world war ii removed granada amache concentration camp colorado family briefly left camp utah voluntarily entering topaz concentration camp utah mother pregnant leaving camp returned san francisco resumed elementary school,
23,nisei male born july saratoga california grew saratoga father worked gardener large estate bombing pearl harbor father moved family inland reedley attempt avoid mass removal eventually removed poston concentration camp arizona leaving camp returned california graduated stanford university masters mechanical engineer went establish prestigous career aerospace industry becoming president lockheed martin missiles space,
24,nisei female born december los angeles california grew gardena parents ran chicken farm bombing pearl harbor moved temporarily live family reedley california removed poston concentration camp arizona visit different camp sakaye met future husband george aratani married minneapolis minnesota george serving military intelligence service leaving camp sakaye george returned los angeles raised family sakaye founding member montebello japanese womens club also one first women serve board sumitomo bank california,
25,nisei male world war ii served company part nd regimental combat team alljapanese american fighting unit one highly decorated military units us history interview discusses experiences training camp shelby mississippi fighting europe battles battle lost battalion,
26,japanese female born november shizuoka japan attended school world war ii war entered nursing profession became involved number social political causes married kibei nisei moved united states,
27,nisei female born march boyle heights neighborhood los angeles california world war ii removed santa anita assembly center california rohwer concentration camp arkansas leaving camp moved family new orleans louisiana remained new orleans thirteen years finishing school establishing career microbiologist eventually returned los angeles,
28,nisei male born june portland oregon grew portland parents ran hotel grocery business drafted army prior bombing pearl harbor transferred army reserves world war ii removed portland assembly center oregon minidoka concentration camp idaho war returned portland established successful travel agency,
29,nisei female born march vashon island washington raised vashon island des moines washington removed two children pinedale assembly center california later transferred tule lake concentration camp california minidoka idaho resettling chicago illinois lived worked chicago eventually returning seattle washington,
30,brent seto bill tashima interviewed sarah e baker baker fourtime chapter president twotime national jacl vicepresident local activist community organizer actordancerdirector balanced tasks working full time fulltime undergraduategraduate student baker organized two communitywide gatherings support api lgbtq youth families galvanized seattle jacl oppose muslim travel ban planned pnwdc national youthstudent council activities much,
31,male japanese frenchirish descent born october los angeles california child resided childrens home society orphanage los angeles world war ii transferred manzanar concentration camps childrens village orphans adopted camp family bishop california eventually became teacher,
32,elaine kim bill tashima interviewed kathryn bannai kathryn bannai lead counsel gordon hirabayashis coram nobis case february among critical work successfully defeated governments effort dismiss hirabayashis case led overturning hirabayashis convictions resisting curfew exclusion orders promulgated eo bannai seattle jacl president pivotal period chapter period chapter expanded work toward wwii japanese american redress aging health issues issei nisei youth programming bannai also forged partnership japanese canadians share wwii experiences injustice bannai third woman chapter president one earliest sansei chapter presidents bannais board first seattle jacl board majority sansei also majority female membership,
33,sansei female born los angeles california grew gardena california surrounded large japanese american community influenced fathers role community politics mothers emphasis education attended university california santa barbara became increasingly aware japanese american history issues ethnic identity racial inequality attended university san francisco school law honed commitment political social activism years law school joined team lawyers working reopen supreme courts decision korematsu v united states convicted violating exclusion order world war ii mr korematsus case went way supreme court exclusion incarceration japanese americans upheld constitutional based governments argument military necessity petition writ error coram nobis establishing case premised errors fact withheld judge defense prosecution legal team reopened case provided evidence factual underpinnings exclusion orders fraudulent successfully korematsu conviction vacated well handful similar convictions interview ms bannai discusses coram nobis legal team support effort among japanese american community personal lessons gained part effort,
34,nisei male born july delta colorado grew small mining farming towns colorado utah arizona family moved boyle heights los angeles california area graduating high school tested discrimination employment practices eventually succeeded obtaining job bank world war ii family held manzanar concentration camp california mr bannai joined nd regimental combat team later transferred us military intelligence service served new guinea elsewhere overseas interpreter allied translator interpreter service atis interpreted surrender japanese forces ceremonies indonesia married eventually resettled gardena california worked floral industry founding bannai realty insurance company extremely active community civic volunteer mr bannai joined elks club well many veterans organizations elected gardena city council elected california state legislature mr bannai became executive director commission wartime relocation internment civilians cwric appointed chief director memorial affairs department veterans administration president ronald reagan,
35,nisei female born july bedderavia california given adoption parents couple could children grew family farm one oldest nisei santa barbara area california incarcerated puyallup assembly center washington minidoka concentration camp idaho widow clarence arai lawyer key figure founding japanese american citizens league interview discusses childhood memories married clarence turbulent war years war supported family cared ailing clarence death remarried george bartholomew,
36,sansei male family owned lincs tackle longtime japanese american business seattle washington prior world war ii father became owner togos tackle shop war removed puyallup assembly center washington minidoka concentration camp idaho family camp prewar insurance agent paid premiums could retain insurance policy returned seattle geralds father able use funds policy establish lincs,
37,nisei female born october los angeles california grew los angeles involved early age traditional japanese dancing stage performance world war ii removed family santa anita assembly center california rohwer concentration camp arkansas leaving camp family resettled denver colorado ten years returning california war pursued career model actor time got involved numerous japanese american community groups,
38,nisei female born july walnut grove california grew walnut grove bombing pearl harbor removed family merced assembly center california granada amache concentration camp colorado left camp attend boarding school new york eventually returning walnut grove marion passed away december,
39,female filipino american descent born seattle washington grew bainbridge island washington granddaughter felix narte one wellknown filipino men bainbridge island worked japanese american strawberry farmers,
40,white male grew pasadena california parents flower growing business provided flowers santa anita racetrack fifty years world war ii visited japanese american friends santa anita assembly center california gila river concentration camp arizona,
41,white male born may albany new york founder executive director american civil liberties union northern california fought civil rights throughout career involved general strike san francisco mccarthy era free speech civil rights antiwar movements represented fred korematsu case united states government,
42,elaine kim joy misako st germain interviewed theo bickel theos introduction jacl intern national jacl jacl national convention las vegas bill tashima invited theo work collaborate seattle jacl chapter theos focus strengthen communications among jacl members executive jacl leadership encourage community engagement work civil rights social justice theo reflected one meaningful events helped coordinate alongside puyallup valley jacl chapter th anniversary puyallup assembly center camp harmony event reconnected different generations japanese americans site camp harmony many individuals shared stories helps healing trauma incarceration created within fairground wwii theo shared thoughts importance jacl activism fight justice eradicating hate created prejudice seattle jacl chapter serves strong platform making genuine connections authentic individuals committed enacting social change japanese american bipoc immigrant communities many dear jacl friends colleagues passed theo expressed confidence future chapter transformative ways compared past,
43,nisei female born june seattle washington raised south park washington family operated small produce farm attended cleveland high school university washington senior year college december father picked fbi following bombing pearl harbor sent missoula internment camp montana family removed pinedale assembly center tule lake concentration camp california worked lab technician tule lake hospital left camp attend womens medical college philadelphia pennsylvania residency tuberculosis hospital detroit michigan specializing radiology practiced michigan tennessee washington california retiring,
44,nisei female born august portland oregon lost father early age mother siblings set family farm greenhouse business world war ii removed portland assembly center oregon minidoka concentration camp idaho leaving camp returned oregon,
45,white male born february seattle washington grew seattle father gene boyd worked seattle parks department gene boyd athletic director collins field house close relationship members japanese american community seattle notably world war ii gene boyd donated athletic equipment japanese american youth held puyallup assembly center washington,
46,born bethesda maryland redress movement worked department justices office redress administration ora established identify administer reparations payments eligible individuals administrator office redress administration well executive officer civil rights criminal division retiring department justice worked private sector saic unisys dla piper llp,
47,male spanish irish descent born march santa monica california moved salinas california teenager enlisted military stationed philippines japanese bombed pearl harbor captured japanese military forced infamous bataan death march held prisoner war released returned united states,
48,nisei female born february grew california world war ii removed poston colorado river concentration camp arizona leaving camp worked war relocation authority office san francisco,
49,white male born grew bainbridge island washington joined navy world war ii eventually returned bainbridge,
50,white female born denver colorado father worked bureau reclamation time wwii broke family lived minidoka concentration camp idaho mrs chandler child time attended elementary school minidoka moved twin falls junior high high school years attending university washington lives lopez island washington spending part year small community honduras,
51,born washington dc redress movement worked department justices office redress administration ora established identify administer reparations payments eligible individuals worked oras deputy director verification unit leaving ora went work deputy executive officer department justice civil rights division deputy director management department health human services office civil rights acting inspector general office inspector general chief administrative officer dla piper llp,
52,nisei female born january los angeles california grew los angeles father ran successful produce business world war ii removed santa anita assembly center california rohwer concentration camp arkansas leaving camp returned los angeles attended college eventually earning masters degree social work practiced social work los angeles eventually chicago illinois,
53,nisei male born september colusa california child family moved stockton california parents owned hotel attending university california berkeley japan bombed pearl harbor family sent rohwer concentration camp arkansas left camp live chicago illinois became optometrist,
54,camila nakashima bill tashima interviewed ryan chin ryan chin seattle jacl chapter president also threetime national jacl vicepresident chin became active seattle jacl student uw organized successful events president chin transformative bringing chapter age technology worked tirelessly improve chapters infrastructure areas board responsibility fiscal oversight,
55,sansei female born august berkeley california removed tanforan assembly center california topaz concentration camp utah family resettled north platte nebraska father operated flower shop received undergraduate degree education sociology hastings college nebraska attended mccormick seminary illinois married husband frank christ worked teacher school desegregation efforts,
56,nisei female born may minidoka concentration camp idaho prior world war ii parents lived hood river oregon bombing pearl harbor removed pinedale assembly center california tule lake concentration camp california transferring minidoka leaving camp family resettled chicago parents took jobs factories vietnam war moved canada husband civil rights movement activist act resistance awardwinning author book sideways memoir misfit,
57,white male born may visalia california attended school sacramento california enrolled university southern california involved development new progressive education theory stanford university teaching high school sacramento california pearl harbor bombed worked teacher minidoka concentration camp idaho,
58,sansei female grew knowing little parents world war ii incarceration experience,
59,born atlanta georgia redress movement worked department justices office redress administration ora established identify administer reparations payments eligible individuals legal counsel ora leaving ora chief deputy chief freedom information actprivacy act branch civil rights division us department justice,
60,kibei male born december sacramento california grew sacramento parents ran hotel traveled japan father japan could return united states impending war living hiroshima united states dropped atomic bomb returned united states world war ii continues talk wartime experiences,
61,nisei female born september san francisco california grew japantown area san francisco world war ii removed tanforan assembly center california topaz concentration camp utah leaving camp family lived time weiser idaho running farm eventually returned california,
62,white male born december new york city new york charles phelps taft professor emeritus history university cincinnati served consultant commission wartime relocation internment civilians researched written numerous books japanese american experience including prisoners without trial japanese americans world war ii american concentration camps documentary history relocation incarceration japanese americans,
63,white female born november seattle washington parents chiropractors supportive japanese americans around time world war ii attended university washington became friends gordon hirabayashi,
64,alison fujimoto joy st germain interviewed chapter president janice deguchi tenure third generation sansei deguchi one youngest chapter presidents deguchi helped lead chapter forming coalition poc groups fight initiative would bar affirmative action programs washington state although unsuccessful deguchi jaclers used momentum keep coalition together revised apace asian pacific american coalition equality organization deguchi along jill beppu oversaw threeyear project install art mural pike place market commemorate ja farmers market prior wwii made stalls never return war,
65,white male born july san francisco california grew san francisco inducted military following bombing pearl harbor assigned service military policeman manzanar concentration camp california serving overseas europe military service returned san francisco,
66,born newport news virginia redress movement worked department justices office redress administration ora established identify administer reparations payments eligible individuals worked document technician ora ora sunset continued work department justicecivil rights division field,
67,nisei female born october los angeles california grew several cities california father minister living riverside california world war ii broke war removed poston concentration camp arizona left camp finish high school ohio attended uc berkeley ucla war worked attorney wayne collins fought behalf japanese americans renounced us citizenship camps,
68,sansei male born san jose california raised san jose parents grandparents owned store japantown removed santa anita assembly center california heart mountain concentration camp wyoming returned san jose war family reestablished business dobashi market mr dobashi eventually took business,
69,nisei female born los angeles california world war ii removed pomona assembly center california heart mountain concentration camp wyoming,
70,yonsei female born august chicago illinois grew chicago parents families resettled world war ii involved various chicago community groups including participating kansha project jacl program young japanese americans chicago learn wartime incarceration,
71,nisei male born march sacramento california grew sacramento father migrant farm laborer world war ii removed marysville assembly center california tule lake concentration camp california transferred family heart mountain concentration camp wyoming returned california war,
72,niseisansei female born december los angeles california world war ii sent family santa anita assembly center california rohwer concentration camp arkansas leaving camp lived quakerrun hostel cincinnati ohio eventually moved chicago illinois parents ran cleaners business,
73,nisei female born february portland oregon grew portland sent educated japan age sixteen married children japan working military government world war ii returned portland family,
74,white male born spokane washington served pastor first methodist church portland oregon mainly japanese american congregation thirteen years,
75,nisei male born january clovis new mexico father worked santa fe railroad january officials rounded japanese americans clovis removed town without warning middle night response angry mob townspeople threatening japanese americans taken unused former ccc camp old raton ranch held guard end mr ebihara family transferred topaz concentration camp utah resettled cleveland ohio remained ohio established successful optometry practice,
76,nisei female born july seattle washington spent childhood seattles nihonmachi japantown parents ran us hotel attended bailey gatzert grade school washington junior high school moving north seattle older siblings operate produce stand graduated roosevelt high school worked waitress tokyo cafe moved spokane washington part voluntary evacuation period march married husband ed edamatsu worked domestic retirement,
77,nisei female born july grew bainbridge island washington parents ran farm world war ii removed manzanar concentration camp california transferred minidoka concentration camp idaho leaving camp returned bainbridge island,
78,nisei female born january los angeles california world war ii incarcerated manzanar concentration camp california wrote manzanar free press incarcerated resettled world war ii madison wisconsin chicago illinois returned los angeles california founding member nisei progressives manzanar committee,
79,nisei male born january brother frank emi leader heart mountain fair play committee fpc incarcerated helped fpc organize,
80,nisei male born september los angeles california attended los angeles city college one year leaving run family produce business married daughter removed pomona assembly center california heart mountain concentration camp wyoming leader heart mountains fair play committee convicted resisting draft imprisoned eighteen months leavenworth kansas leaving prison worked us post office california state unemployment office mr emi practiced judo young person war postwar taught hollywood judo dojo,
81,nisei male born september milwaukie oregon world war ii removed portland assembly center oregon minidoka concentration camp idaho leaving camp returned oregon,
82,nisei male born february san francisco california grew san francisco attended university california berkeley bombing pearl harbor removed tanforan assembly center california topaz concentration camp utah served military intelligence service war resettled new york,
83,white female born july fullerton california grew bishop california remembers vising manzanar concentration camp california world war ii,
84,nisei female born november harwick california world war ii age nine removed family fresno assembly center california jerome rohwer concentration camps arkansas leaving camp resettled chicago time moving florida attend college appeared stage production world suzie wong new york went establish acting career film stage,
85,white male born brooklyn new york grew new york father mechanic world war ii enlisted air force sent serve japan met future wife got married returned us established successful career federal aviation administration,
86,shinissei female born march kasuga fukuoka japan grew kasuga parents ran farm graduated girls high school us occupation japan met future husband us serviceman immigrated united states war bride,
87,male italian irish descent born baltimore maryland grew countryside outside baltimore parents younger sister maternal grandmother raised catholic attended public schools graduating age seventeen began working baltimore news post draft called serve one year us armed forces joined army age twentyone well aware hitlers aggression europe fairly certain us would join war effort stop went basic training months away discharged time bombing pearl harbor mr frisino shares memories day pearl harbor bombed personal reaction bombing went training radio operator met married wife harriette went rigorous officer candidate school shipped overseas fight years jungles burma communications supply officer returned home wife seattle washington began career seattle postintelligencer worked years interview mr frisino shares memories life well perspective issues race ethnicity,
88,nisei male born may marysville california family operated farm prior world war ii following bombing pearl harbor removed merced assembly center california granada amache concentration camp colorado remained colorado war,
89,kibei male born august portland oregon sent siblings educated japan ten years old returned united states world war ii incarcerated portland assembly center oregon minidoka concentration camp idaho active seattles postwar japanese american community member past president first hill lions club past president atlantic street center past president franklin high school band pta past zone chairman japanese american citizens league jacl past jacl district governor area b interview discusses childhood memories japan japanese attitudes values,
90,nisei female born march nyssa oregon parents ran farm world war ii removed portland assembly center oregon instead going concentration camp moved family nearby farm labor camp war eventually returned oregon,
91,nisei male born gresham oregon grew greshamtroutdale area parents ran farm world war ii removed portland assembly center oregon minidoka concentration camp idaho leaving camp attended college briefly utah returning home gresham,
92,nisei male born january seattle washington grew jackson street neighborhood seattle washington incarcerated puyallup assembly center washington tule lake concentration camp california resettled seattle former teacher varsity basketball coach seattles franklin high school administrator seattle central community college,
93,nisei female born march brooks oregon grew brooks parents ran farm world war ii removed tule lake concentration camp california transferred minidoka concentration camp idaho war returned oregon remained portland,
94,nisei female born berkeley california world war ii removed tanforan assembly center california topaz concentration camp utah war returned berkeley,
95,nisei female born january one four sisters grew near los angeles california parents ran nursery business following bombing pearl harbor removed manzanar concentration camp california following war returned los angeles,
96,nisei male born january colusa california raised ault colorado family operated produce sugar beet farm assumed responsibility farm age father suffered debilitating accident drafted army basic training camp robinson arkansas transferred fort riley kansas attended second basic training camp shelby mississippi president roosevelt activated nd regimental combat team severely injured guarding german pows alabama war moved south texas operated several farms opening bowling alley,
97,nisei male born los angeles california grew los angeles parents ran farm father became gardener world war ii removed manzanar concentration camp california left camp finish high school chicago illinois attend college minneapolis minnesota drafted military eventually returned los angeles established career industrial design,
98,nisei male born january seattle washington spent prewar years seattles nihonmachiyesler terrace area incarcerated puyallup assembly center washington minidoka concentration camp idaho drafted military intelligence service mis postwar commander nisei veterans committee nvc,
99,kibei male born august child sent live japan fathers passing attended school japan drafted japanese military us occupation reunited brother serving military intelligence service,
100,nisei male born april los angeles california grew california prior world war ii removed manzanar concentration camp california war left manzanar lived various locations eventually settling new york california mr fukuhara prominent artist,
101,yonsei male born february los angeles california grew los angeles graduating college took familys prestigious mortuary business active several community organizations los angeles little tokyo including nisei week japanese american national museum,
102,nisei female born september seattle washington younger sister three younger brothers father riichiro fukano employed oriental trading company bookkeeper seattle operating dry cleaning business mother kiyono miyama fukano seamstress learned dressmaking mother helped shop family lived upstairs shop neighborhood japanese american families paternal grandfather grandmother joined household lived eleven years returning japan father served many years secretary japanese chamber commerce mother served president buddhist womens association graduated lincoln high school attended university washington one year attended school japan one year living fukuoka ken served interpreter charles lindbergh yasha heifetz notable visitors married william owari fukui issei husband also dry cleaning business son born moved back parents house along husband son order together mother brothers incarcerated puyallup assembly center may father picked earlier fbi december detained interned separately incarcerated minidoka concentration camp son attended nursery school minidoka husband worked released indefinite leave husband son relocate detroit mi car vandalized burglarized minidoka camp drive back seattle protested lack assistance minidoka concentration camp staff husband started another dry cleaning business seattle overcoming discrimination financing retired dry cleaning business volunteer work childrens hospital seattle years provided home care two half years husband suffered severe stroke death provided volunteer services seattle keiro six half years,
103,nisei female born march montebello california lived several places southern california father flower grower world war ii removed manzanar concentration camp california married child camp left manzanar chicago illinois,
104,nisei male born february los angeles california grew los angeles father custodial work world war ii removed manzanar concentration camp california finished high school manzanar left camp attend drake college des moines iowa drafted military served medic nd regimental combat team europe,
105,yuriko furubayashi born january waimea hawaii one ten children family father come hawaii hiroshima mids contract worker pineapple plantation grew vegetables kept chickens around house help feed family mother cooked japanese food part meat hard come many coworkers plantation japanese yuriko used go afterschool school honganji coworkers children peers public school included filipinos chinese polynesians portuguese haoles ten years old uncle aunt los angeles successful owners olympic hotel took japan childless plan make yuriko familys heir yuriko quickly adjusted life japan graduated high school working airplane factory bomb dropped hiroshima although injured irradiated walked city day look aunt uncle entire city still fire saw many corpses people severe nuclear burns lost one uncles bomb also visited friend working orphanage struck many children lost parents bomb went hawaii see parents thanks arrangement made brother come japan part us occupation force decided want go back hiroshima memories destruction depressed studied regain english worked sisters bakery near kahoku married baker became successful owners another bakery named oldest son yuriko somewhat worried radiation effect pregnant first child gained hibakusha techo certificate survivorhood issued japanese government also regularly attends biannual health checkups conducted japanese physicians american survivors,
106,sansei female born december topaz concentration camp utah prior world war ii parents lived worked alameda california world war ii family sent tanforan assembly center california topaz concentration camp utah war family returned alameda judy grew lived worked san francisco time eventually returned alameda family long involved japanese american community,
107,nisei female born march san jose california prior world war ii sent father live japan relatives remained japan war attending school working airplane parts factory support japanese war effort eventually returned united states san jose,
108,nisei male grew hilo hawaii veterinary student kansas state university japan bombed pearl harbor volunteered military intelligence service served burma merrills marauders,
109,sansei male born november los angeles california world war ii father tuberculosis sanitarium taken tule lake concentration camp california mother sent santa anita assembly center california jerome concentration camp arkansas parents met chicago illinois leaving camps jeff grew los angeles area eventually attended ucla became involved various political civil rights causes joined staff gidra became programmer raised family eventually moved hawaii worked hawaii medical service association,
110,ana tanaka dr kyle kinoshita interview gabrielle kazuko nomura gainor gainor mixedrace gosei fifth generation japanese american represents next generation mixedrace nikkei activists artists use skills platform raise voices bring issues bipoc legacy social justice table seattle jacl board member staff worker seattle opera accomplished dancer journalist community activist gainor coordinated workshops exhibits performances online discussion series activities,
111,born wilmington delaware redress movement worked department justices office redress administration ora established identify administer reparations payments eligible individuals worked program management analyst special verification unit ora leaving ora following brief stint higher education returned department justices civil rights division part oralitigation support services group additionally served justice management divisions budget staff part inaugural leadership excellence achievement program leap cohort currently deputy director administration office administration office justice programs ojp ojp provides innovative leadership federal state local tribal justice systems disseminating stateofthe art knowledge practices across america providing grants implementation crime fighting strategies also serves director business resources division brd,
112,nisei female born may milwaukie oregon married bombing pearl harbor two children world war ii removed portland assembly center oregon minidoka concentration camp idaho leaving camp returned milwaukie husband started laundry business,
113,nisei female born june alameda california age three japan bombed pearl harbor december removed family tanforan assembly center california topaz concentration camp utah camp father volunteered nd regimental combat team mother answered ad camp newspaper moved jean ranch owned duvenicks family known social justice activism eventually returned oakland california area,
114,sansei female born october compton california infant taken family manzanar concentration camp california government issued socalled loyalty questionnaire family transferred tule lake concentration camp california leaving camp lived ten years farm labor camp island outside stockton eventually ended living san fernando valley became active japanese american citizens league,
115,kibei nisei couple kikuno born united states moved japan family father passed away lead world war ii uncle sent kikuno brother back united states raised foster care northern california world war ii kikuno sent missionaries minidoka concentration camp idaho mitsuo born united states sent live uncle japan returned us world war ii sent amache concentration camp colorado couple met chicago war,
116,kibei nisei couple kikuno born united states moved japan family father passed away lead world war ii uncle sent kikuno brother back united states raised foster care northern california world war ii kikuno sent missionaries minidoka concentration camp idaho mitsuo born united states sent live uncle japan returned us world war ii sent amache concentration camp colorado couple met chicago war,
117,nisei female born may sacramento california world war ii sent family sacramento assembly center california tule lake concentration camp california due fathers refusal answer socalled loyalty questions family remained tule lake turned segregation center subject violent attacks harassment kazie family able leave camp philadelphia,
118,kibei male grew kona hawaii bombing pearl harbor volunteered military intelligence instructor language school camp savage heading oral language division,
119,nisei female born september seattle washington parents operated store sanitary market known pike place market father active kenjinkai prefectural organization activities world war ii spent prewar childhood among seattles japanese american community incarcerated puyallup assembly center washington minidoka concentration camp idaho one first japanese american families return seattle war,
120,white female born july seattle washington grew seattle father gene boyd worked seattle parks department gene boyd athletic director collins field house close relationship members japanese american community seattle notably world war ii gene boyd donated athletic equipment japanese american youth held puyallup assembly center washington,
121,nisei male born june grew portland oregon japan bombed pearl harbor received permit remain portland mass removal translate father hospital rejoined family went minidoka concentration camp idaho leaving camp returned portland,
122,nisei female born july portland oregon grew portland father owned clothing store world war ii removed portland assembly center oregon minidoka concentration camp idaho leaving camp lived time ames iowa detroit michigan returning oregon raising family,
123,nisei female born march hilo hawaii grew hilo father worked japaneselanguage newspaper following bombing pearl harbor father arrested detained kilauea military camp sand island internment camp war attended university hawaii returned hilo,
124,nisei male born may san gabriel california grew covina area california parents ran farm world war ii removed pomona assembly center heart mountain concentration camp wyoming leaving camp returned california,
125,nisei female born july san gabriel california spent childhood los angeles father operated shoe repair business grocery store family removed santa anita assembly center california amache concentration camp colorado resettled denver war worked several businesses japantown married opened greenhouse flower shop husband,
126,nisei male born october japan parents visiting family came us three months old grew terminal island california bombing pearl harbor picked along issei father taken fort lincoln bismarck north dakota transferred fort lincoln santa anita assembly center california rohwer concentration camp arkansas leaving camp worked various places around country joining military intelligence service eventually returned california,
